angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
3	38	3	40	3	41	3	43
3.1	50	3.1	50	3.1	41	3.1	48
3.2	47	3.2	59	3.2	70	3.2	51
3.3	82	3.3	52	3.3	76	3.3	48
3.4	95	3.4	57	3.4	108	3.4	54
3.5	125	3.5	73	3.5	109	3.5	45
3.6	95	3.6	59	3.6	147	3.6	60
3.7	130	3.7	58	3.7	152	3.7	53
3.8	124	3.8	58	3.8	141	3.8	64
3.9	111	3.9	63	3.9	148	3.9	66
4	135	4	45	4	159	4	70
4.1	137	4.1	57	4.1	160	4.1	67
4.2	128	4.2	58	4.2	144	4.2	62
4.3	126	4.3	61	4.3	138	4.3	51
4.4	138	4.4	61	4.4	136	4.4	56
4.5	130	4.5	54	4.5	157	4.5	58
4.6	132	4.6	60	4.6	150	4.6	70
4.7	128	4.7	44	4.7	165	4.7	59
4.8	124	4.8	67	4.8	170	4.8	47
4.9	129	4.9	58	4.9	152	4.9	62
5	118	5	54	5	181	5	59
5.1	132	5.1	56	5.1	126	5.1	83
5.2	131	5.2	59	5.2	146	5.2	64
5.3	130	5.3	69	5.3	145	5.3	76
5.4	122	5.4	53	5.4	141	5.4	77
5.5	148	5.5	47	5.5	151	5.5	75
5.6	212	5.6	55	5.6	201	5.6	60
5.7	263	5.7	67	5.7	261	5.7	65
5.8	220	5.8	68	5.8	243	5.8	63
5.9	162	5.9	69	5.9	226	5.9	55
6	138	6	79	6	155	6	81
6.1	129	6.1	72	6.1	149	6.1	120
6.2	158	6.2	61	6.2	161	6.2	120
6.3	313	6.3	58	6.3	313	6.3	94
6.4	615	6.4	76	6.4	549	6.4	56
6.5	495	6.5	64	6.5	563	6.5	61
6.6	347	6.6	73	6.6	500	6.6	73
6.7	139	6.7	66	6.7	211	6.7	70
6.8	115	6.8	68	6.8	142	6.8	54
6.9	118	6.9	70	6.9	127	6.9	71
7	125	7	63	7	111	7	85
7.1	123	7.1	66	7.1	125	7.1	69
7.2	111	7.2	70	7.2	132	7.2	58
7.3	104	7.3	90	7.3	119	7.3	65
7.4	105	7.4	65	7.4	111	7.4	61
7.5	107	7.5	58	7.5	98	7.5	63
7.6	105	7.6	66	7.6	121	7.6	82
7.7	124	7.7	55	7.7	98	7.7	59
7.8	99	7.8	73	7.8	112	7.8	79
7.9	115	7.9	64	7.9	114	7.9	59
8	118	8	74	8	103	8	74
8.1	112	8.1	76	8.1	93	8.1	65
8.2	93	8.2	71	8.2	101	8.2	59
8.3	113	8.3	70	8.3	112	8.3	65
8.4	93	8.4	51	8.4	90	8.4	58
8.5	74	8.5	67	8.5	96	8.5	61
8.6	85	8.6	58	8.6	105	8.6	67
8.7	120	8.7	70	8.7	96	8.7	70
8.8	87	8.8	56	8.8	99	8.8	71
8.9	81	8.9	63	8.9	79	8.9	63
9	85	9	68	9	113	9	51
9.1	76	9.1	65	9.1	106	9.1	55
9.2	84	9.2	63	9.2	86	9.2	63
9.3	89	9.3	57	9.3	109	9.3	66
9.4	102	9.4	55	9.4	71	9.4	55
9.5	82	9.5	67	9.5	98	9.5	72
9.6	88	9.6	64	9.6	94	9.6	72
9.7	90	9.7	79	9.7	84	9.7	68
9.8	77	9.8	49	9.8	89	9.8	62
9.9	82	9.9	70	9.9	79	9.9	71
10	81	10	72	10	72	10	55
10.1	81	10.1	59	10.1	84	10.1	70
10.2	72	10.2	60	10.2	93	10.2	71
10.3	81	10.3	54	10.3	98	10.3	66
10.4	79	10.4	75	10.4	98	10.4	42
10.5	82	10.5	58	10.5	78	10.5	69
10.6	90	10.6	63	10.6	84	10.6	74
10.7	88	10.7	65	10.7	85	10.7	72
10.8	96	10.8	56	10.8	91	10.8	76
10.9	85	10.9	72	10.9	88	10.9	61
11	88	11	82	11	93	11	63
11.1	66	11.1	66	11.1	86	11.1	72
11.2	95	11.2	67	11.2	88	11.2	75
11.3	98	11.3	54	11.3	81	11.3	62
11.4	98	11.4	63	11.4	86	11.4	77
11.5	118	11.5	61	11.5	98	11.5	78
11.6	87	11.6	62	11.6	96	11.6	68
11.7	91	11.7	75	11.7	92	11.7	56
11.8	89	11.8	58	11.8	86	11.8	76
11.9	81	11.9	70	11.9	104	11.9	73
12	77	12	67	12	85	12	70
12.1	75	12.1	63	12.1	86	12.1	64
12.2	94	12.2	67	12.2	89	12.2	78
12.3	75	12.3	73	12.3	85	12.3	71
12.4	79	12.4	69	12.4	84	12.4	60
12.5	83	12.5	66	12.5	85	12.5	62
12.6	95	12.6	67	12.6	83	12.6	87
12.7	85	12.7	71	12.7	93	12.7	93
12.8	80	12.8	68	12.8	82	12.8	63
12.9	137	12.9	72	12.9	124	12.9	76
13	177	13	82	13	151	13	70
13.1	129	13.1	73	13.1	183	13.1	75
13.2	125	13.2	69	13.2	131	13.2	73
13.3	89	13.3	62	13.3	99	13.3	76
13.4	80	13.4	66	13.4	104	13.4	63
13.5	94	13.5	81	13.5	92	13.5	69
13.6	86	13.6	72	13.6	103	13.6	83
13.7	78	13.7	82	13.7	90	13.7	73
