angle	rate
3	19.4
3.1	24.2
3.2	29.8
3.3	40
3.4	52.4
3.5	59.8
3.6	58.4
3.7	59.4
3.8	58.2
3.9	52.6
4	57
4.1	50.6
4.2	53
4.3	53.8
4.4	51.2
4.5	52.2
4.6	52.2
4.7	44.4
4.8	44.2
4.9	47.4
5	42.8
5.1	43.4
5.2	42
5.3	43
5.4	41
5.5	37
5.6	42.4
5.7	44.2
5.8	40.8
5.9	37.4
6	32.2
6.1	30.2
6.2	40
6.3	142.2
6.4	323.6
6.5	336.6
6.6	218.6
6.7	85.4
6.8	67.6
6.9	61
7	59.2
7.1	60.6
7.2	64.8
7.3	62.2
7.4	57.2
7.5	58
7.6	51
7.7	52
7.8	43.6
7.9	49.6
8	44
8.1	52.8
8.2	55.2
8.3	49.2
8.4	47.6
8.5	45.6
8.6	43.6
8.7	42.8
8.8	42.4
8.9	45
9	37.8
9.1	40.2
9.2	40.8
9.3	43.8
9.4	35.6
9.5	39.2
9.6	39.6
9.7	40.8
9.8	42.6
9.9	40.2
10	43
10.1	44.4
10.2	48
10.3	42.2
10.4	37.6
10.5	41
10.6	39.2
10.7	41.8
10.8	38.6
10.9	36.4
11	36.2
11.1	41.6
11.2	40.8
11.3	33.8
11.4	36
11.5	39
11.6	39.8
11.7	40.2
11.8	36.2
11.9	37.6
12	32.4
12.1	34.6
12.2	38
12.3	36.4
12.4	34.8
12.5	35
12.6	38.2
12.7	37.2
12.8	40.8
12.9	60
13	89.4
13.1	85.8
13.2	53
13.3	38.2
13.4	36.8
13.5	36.8
13.6	34.8
13.7	42
13.8	36.8
13.9	34.8
14	39.2
14.1	43
14.2	37
14.3	35
14.4	36.8
14.5	38.2
14.6	38.2
14.7	38.4
14.8	35
14.9	37.2
15	36.4
15.1	33.4
15.2	34.8
15.3	35.2
15.4	34.4
15.5	32.6
15.6	36.4
15.7	33
15.8	31.6
15.9	33.4
16	30.8
16.1	30
16.2	32.4
16.3	31.4
16.4	32.6
16.5	36
16.6	34
16.7	31.6
16.8	31
16.9	32.4
17	32.8
17.1	32.4
17.2	38.4
17.3	32.4
17.4	32.2
17.5	28
17.6	32.8
17.7	35.2
17.8	29.6
17.9	32.4
18	31.2
18.1	31.2
18.2	37
18.3	30.4
18.4	32.8
18.5	33.6
18.6	32
18.7	30.6
18.8	32.2
18.9	29
19	33.2
19.1	31.8
19.2	34.6
19.3	33.2
19.4	30.2
19.5	31.6
19.6	35
19.7	54.6
19.8	69
19.9	63.4
20	49.6
20.1	37
20.2	30.6
20.3	33.6
20.4	32
20.5	30.6
20.6	28.2
20.7	34.6
20.8	35.8
20.9	30.4
21	28.6
21.1	29
21.2	31.8
21.3	32.4
21.4	31.6
21.5	22.6
21.6	27.2
21.7	28.6
21.8	27
21.9	28.2
22	29
22.1	27.2
22.2	33.2
22.3	27.8
22.4	29.6
22.5	29
22.6	26.8
22.7	31
22.8	28.8
22.9	28.4
23	26.2
23.1	26.6
23.2	32
23.3	26.2
23.4	25.6
23.5	29.2
23.6	29.6
23.7	26
23.8	30
23.9	27.4
24	25.4
24.1	24.2
24.2	25.2
24.3	30.2
24.4	27.4
24.5	28.6
24.6	25.4
24.7	23.4
24.8	32
24.9	25.6
25	31.8
25.1	27.4
25.2	29
25.3	24.8
25.4	31.2
25.5	27.6
25.6	25.6
25.7	33.2
25.8	28
25.9	29.8
26	29.6
26.1	29.4
26.2	28.6
26.3	33.2
26.4	27.4
26.5	27.6
26.6	26.8
26.7	38.4
26.8	50.6
26.9	54.8
27	46.6
27.1	39.2
27.2	31.6
27.3	26.4
27.4	25.4
27.5	32.2
27.6	26.2
27.7	30.4
27.8	25
27.9	28
28	27
28.1	26.8
28.2	31.4
28.3	31.6
28.4	26.6
28.5	26
28.6	29.4
28.7	31.8
28.8	31.8
28.9	32.2
29	29.2
29.1	29.6
29.2	28.2
29.3	24.8
29.4	27.4
29.5	25.6
29.6	25.2
29.7	28
29.8	25.2
29.9	32
30	28.6
30.1	26.8
30.2	30.2
30.3	23.8
30.4	31
30.5	25
30.6	25.2
30.7	26.2
30.8	23.4
30.9	27.8
31	26
31.1	29
31.2	30.8
31.3	27.8
31.4	31.2
31.5	26
31.6	32
31.7	30.4
31.8	28
31.9	29.2
32	29.8
32.1	29.2
32.2	24.4
32.3	24.8
32.4	29.4
32.5	25.4
32.6	29.2
32.7	28
32.8	24.6
32.9	27.6
33	29.4
33.1	28.8
33.2	23.4
33.3	24.8
33.4	27
33.5	29.6
33.6	26.6
33.7	22
33.8	28.4
33.9	26
34	31.8
34.1	25.4
34.2	29.6
34.3	34.4
34.4	30.8
34.5	31
34.6	31.6
34.7	25.2
34.8	25
34.9	26
35	29
