angle	rate
3	44.4
3.1	49
3.2	64.8
3.3	80.8
3.4	96.2
3.5	100.4
3.6	116.4
3.7	119.2
3.8	135.4
3.9	122
4	121.6
4.1	132.8
4.2	132.6
4.3	145
4.4	126.8
4.5	138
4.6	135
4.7	125.8
4.8	136
4.9	129.2
5	132.8
5.1	131.6
5.2	127.2
5.3	122
5.4	134.4
5.5	133.8
5.6	193
5.7	255.2
5.8	242.8
5.9	190.8
6	148.8
6.1	143.6
6.2	141.8
6.3	292.2
6.4	555
6.5	519.8
6.6	368.8
6.7	143.4
6.8	121.8
6.9	126.4
7	126.2
7.1	115.4
7.2	120.4
7.3	108.6
7.4	115
7.5	122
7.6	110.6
7.7	99.6
7.8	102.8
7.9	97
8	100.8
8.1	85.2
8.2	97.2
8.3	91.6
8.4	92.8
8.5	83.8
8.6	92.2
8.7	85.4
8.8	80.4
8.9	91.6
9	90.6
9.1	90.6
9.2	84.6
9.3	91.6
9.4	86.4
9.5	88.2
9.6	92.8
9.7	84.8
9.8	91.2
9.9	93.4
10	91.6
10.1	100.4
10.2	99
10.3	86
10.4	91.2
10.5	88.2
10.6	91.2
10.7	88.8
10.8	93.8
10.9	97.6
11	93.6
11.1	82.8
11.2	87.6
11.3	92.6
11.4	81.6
11.5	103.8
11.6	100.6
11.7	104.8
11.8	83.6
11.9	87.2
12	85.6
12.1	86.6
12.2	90.6
12.3	93
12.4	87.2
12.5	88
12.6	83.4
12.7	88
12.8	94.2
12.9	132.4
13	178
13.1	159.4
13.2	116.2
13.3	98
13.4	89.4
13.5	89.4
13.6	85.8
13.7	90
13.8	92.4
13.9	96.2
14	87.8
14.1	92.8
14.2	92.4
14.3	79.4
14.4	82.6
14.5	91.4
14.6	84.6
14.7	89.2
14.8	77.4
14.9	82.2
15	92.8
15.1	92.2
15.2	88.6
15.3	86.4
15.4	88.4
15.5	85.8
15.6	83.4
15.7	87.4
15.8	85.8
15.9	94.4
16	92
16.1	87.6
16.2	83.4
16.3	84
16.4	85.6
16.5	86.8
16.6	82.8
16.7	84
16.8	77.4
16.9	84.6
17	87.6
17.1	85.6
17.2	89.6
17.3	79.8
17.4	88.8
17.5	101
17.6	108
17.7	101.8
17.8	93.4
17.9	87.4
18	82
18.1	88.8
18.2	83.6
18.3	85.2
18.4	82
18.5	81.4
18.6	80.4
18.7	87.4
18.8	84
18.9	82.6
19	82.6
19.1	77.2
19.2	78.8
19.3	80.6
19.4	83.6
19.5	82
19.6	93.2
19.7	132.4
19.8	142.2
19.9	144.8
20	108.6
20.1	84
20.2	78.8
20.3	71.2
20.4	80.4
20.5	80.8
20.6	78.6
20.7	76
20.8	72.6
20.9	87
21	83.2
21.1	76
21.2	74
21.3	79.6
21.4	84.4
21.5	83.2
21.6	80.2
21.7	83.8
21.8	79.8
21.9	87.2
22	82
22.1	84
22.2	89.4
22.3	89.2
22.4	76.4
22.5	71.8
22.6	74.4
22.7	80.8
22.8	82.4
22.9	79.4
23	92.8
23.1	80.2
23.2	76
23.3	84.2
23.4	90.4
23.5	87
23.6	85.2
23.7	86.6
23.8	89.6
23.9	84.6
24	79.6
24.1	73
24.2	74
24.3	78.2
24.4	76.6
24.5	78.6
24.6	72.2
24.7	79
24.8	71.2
24.9	74.8
25	81.6
25.1	73
25.2	79.4
25.3	76.8
25.4	79.6
25.5	75.8
25.6	84.8
25.7	71
25.8	75.4
25.9	80.2
26	68.2
26.1	74.8
26.2	79.2
26.3	82.2
26.4	78
26.5	69.8
26.6	83.6
26.7	94.6
26.8	119.2
26.9	118.8
27	113
27.1	95.2
27.2	73.4
27.3	75.4
27.4	74.2
27.5	68.6
27.6	74.4
27.7	74.2
27.8	80.4
27.9	79.4
28	73
28.1	71
28.2	73.6
28.3	74.6
28.4	76
28.5	78.4
28.6	71.8
28.7	71.2
28.8	79.6
28.9	78.6
29	69.8
29.1	79.8
29.2	77.6
29.3	68.8
29.4	76.2
29.5	75.2
29.6	87
29.7	77.8
29.8	73.6
29.9	80.6
30	79.8
30.1	74
30.2	84.2
30.3	85.6
30.4	77.2
30.5	69.8
30.6	75.6
30.7	76.2
30.8	74
30.9	75.6
31	75.4
31.1	79
31.2	71
31.3	72.2
31.4	74.4
31.5	68.8
31.6	75.2
31.7	75.6
31.8	74.6
31.9	73.2
32	69
32.1	77
32.2	78.6
32.3	70.2
32.4	76
32.5	73.2
32.6	82.8
32.7	76
32.8	77
32.9	75.4
33	74.6
33.1	68.8
33.2	72.6
33.3	75.4
33.4	77.6
33.5	76.6
33.6	75
33.7	74.2
33.8	74.2
33.9	73.6
34	79.6
34.1	77.4
34.2	89.2
34.3	87
34.4	84
34.5	84.2
34.6	77.6
34.7	76.8
34.8	80
34.9	69.6
35	67.6
