angle	rate
3	44.4
3.1	49.2
3.2	63.8
3.3	85.4
3.4	95.8
3.5	101.8
3.6	111.4
3.7	120
3.8	120.2
3.9	119.2
4	129.4
4.1	130.4
4.2	128.4
4.3	139.4
4.4	143.2
4.5	138
4.6	146.4
4.7	130.2
4.8	153.2
4.9	143.4
5	145.2
5.1	135.4
5.2	130.8
5.3	131.8
5.4	145.4
5.5	136.8
5.6	193.8
5.7	249.6
5.8	226.4
5.9	173.4
6	149.2
6.1	131.2
6.2	134.8
6.3	288.8
6.4	555.2
6.5	498
6.6	354
6.7	154
6.8	129
6.9	132
7	115
7.1	117.2
7.2	120.2
7.3	116.4
7.4	101.6
7.5	101.2
7.6	107.6
7.7	101.2
7.8	100.8
7.9	109
8	97.8
8.1	103.8
8.2	96.8
8.3	100.6
8.4	100.6
8.5	95.6
8.6	94
8.7	82.6
8.8	96.6
8.9	87.4
9	97.6
9.1	86.2
9.2	90.2
9.3	93
9.4	76.4
9.5	87.4
9.6	82.2
9.7	87.6
9.8	83.6
9.9	94
10	82.6
10.1	93
10.2	86.8
10.3	92.6
10.4	89.4
10.5	87.2
10.6	87.8
10.7	92
10.8	97
10.9	88.4
11	89.4
11.1	89.4
11.2	95.8
11.3	91
11.4	87.8
11.5	100.4
11.6	102.4
11.7	92.8
11.8	93
11.9	90
12	83.4
12.1	82.6
12.2	85.2
12.3	82
12.4	81.6
12.5	92.6
12.6	78.4
12.7	85
12.8	91
12.9	120.2
13	167.2
13.1	148.2
13.2	112
13.3	83.8
13.4	81
13.5	81.4
13.6	91
13.7	96.8
13.8	94.6
13.9	83.2
14	95.8
14.1	96.8
14.2	85.2
14.3	79.8
14.4	91
14.5	89
14.6	79.8
14.7	87.2
14.8	80.6
14.9	94
15	75.6
15.1	87.2
15.2	74.2
15.3	85.6
15.4	80.6
15.5	84.2
15.6	80.6
15.7	89.2
15.8	82.6
15.9	88.2
16	87.4
16.1	91.8
16.2	81.6
16.3	84.6
16.4	80.2
16.5	86.8
16.6	86.2
16.7	87.6
16.8	77.6
16.9	79.8
17	85.4
17.1	87.6
17.2	85.8
17.3	79.8
17.4	88
17.5	96.4
17.6	98.8
17.7	95.4
17.8	86.2
17.9	85.2
18	81.6
18.1	85
18.2	84.4
18.3	76.6
18.4	79.8
18.5	81.2
18.6	86.4
18.7	83.4
18.8	76
18.9	81.6
19	77.6
19.1	80.6
19.2	81.8
19.3	81.2
19.4	82.2
19.5	82.2
19.6	91.6
19.7	111.6
19.8	133.4
19.9	133.4
20	109.8
20.1	93
20.2	78.2
20.3	83.2
20.4	73.8
20.5	70
20.6	78.6
20.7	77.8
20.8	77.2
20.9	83.2
21	75.6
21.1	81.2
21.2	84.2
21.3	82.4
21.4	78
21.5	82.4
21.6	79.4
21.7	78.8
21.8	75
21.9	77.4
22	79.2
22.1	82.4
22.2	77.4
22.3	75.6
22.4	77
22.5	79
22.6	84.8
22.7	86
22.8	76.6
22.9	83
23	76.6
23.1	75.4
23.2	76.4
23.3	80
23.4	76.2
23.5	78.6
23.6	81
23.7	89.2
23.8	89.2
23.9	84
24	70.8
24.1	73.8
24.2	76.2
24.3	75.2
24.4	81.8
24.5	73.2
24.6	75.4
24.7	81.4
24.8	80.4
24.9	81.2
25	72.2
25.1	78.8
25.2	70.4
25.3	79.2
25.4	77
25.5	84.6
25.6	77.8
25.7	80
25.8	79.6
25.9	74.8
26	78
26.1	80.8
26.2	80.4
26.3	85.4
26.4	79.2
26.5	70.6
26.6	79
26.7	88.4
26.8	119.4
26.9	119.2
27	101.6
27.1	86.8
27.2	77.8
27.3	76.2
27.4	77
27.5	76
27.6	72
27.7	77
27.8	74.6
27.9	75.8
28	72.2
28.1	82.4
28.2	81.2
28.3	76.6
28.4	74.6
28.5	71.2
28.6	76.8
28.7	75.4
28.8	74
28.9	70.8
29	74.6
29.1	71
29.2	72.4
29.3	79
29.4	73
29.5	76.6
29.6	82.6
29.7	75.6
29.8	87.6
29.9	82
30	73.2
30.1	83.8
30.2	80.4
30.3	73.6
30.4	79.8
30.5	74.6
30.6	74
30.7	68.8
30.8	69.6
30.9	72.2
31	74.6
31.1	77.2
31.2	73.6
31.3	72.2
31.4	71.8
31.5	85.2
31.6	71.8
31.7	73.4
31.8	74.6
31.9	76.2
32	76
32.1	72.8
32.2	71.8
32.3	76.6
32.4	69.6
32.5	78
32.6	69.4
32.7	74.2
32.8	79.2
32.9	77.8
33	74.2
33.1	70.6
33.2	75.4
33.3	71
33.4	77.2
33.5	75.4
33.6	72.6
33.7	72.8
33.8	75.6
33.9	70
34	74
34.1	80.2
34.2	81
34.3	83.2
34.4	82.4
34.5	78.6
34.6	83.2
34.7	74.6
34.8	71.4
34.9	76.4
35	72.6
