angle10-14	rate10-14	angle16-20	rate16-20	angle21-27	rate21-27
10	40	16	36.1	21	32.7
10.1	39.1	16.1	33.4	21.1	29.7
10.2	45.6	16.2	34.1	21.2	31.4
10.3	43.1	16.3	33.6	21.3	29
10.4	41.9	16.4	32.2	21.4	33.8
10.5	39.9	16.5	34.3	21.5	27.5
10.6	40.2	16.6	34.8	21.6	30.1
10.7	39.1	16.7	33.7	21.7	28.9
10.8	39.4	16.8	30.6	21.8	25.6
10.9	43	16.9	33.8	21.9	30.3
11	36.6	17	30.9	22	30.5
11.1	38.5	17.1	32	22.1	31.5
11.2	38.3	17.2	32.1	22.2	28.6
11.3	39.7	17.3	31.2	22.3	27
11.4	39	17.4	32.4	22.4	29.9
11.5	37	17.5	35.7	22.5	30
11.6	41.2	17.6	31.5	22.6	29.2
11.7	39.9	17.7	35.8	22.7	30.6
11.8	38.3	17.8	31.1	22.8	25.2
11.9	38.4	17.9	34.1	22.9	28.6
12	37	18	30.8	23	27.1
12.1	34.8	18.1	28.3	23.1	28.2
12.2	38.8	18.2	33.9	23.2	29.1
12.3	37	18.3	29.7	23.3	26
12.4	37.6	18.4	33.6	23.4	30.8
12.5	37.1	18.5	31.5	23.5	27.6
12.6	38.6	18.6	33.1	23.6	32.7
12.7	40.4	18.7	29.6	23.7	29.7
12.8	47.5	18.8	28.7	23.8	26.9
12.9	64.8	18.9	33.1	23.9	26.5
13	92.6	19	29.1	24	25.7
13.1	78.7	19.1	31.7	24.1	31.6
13.2	53.9	19.2	31.7	24.2	24.5
13.3	40	19.3	33.1	24.3	29.4
13.4	41.5	19.4	29.6	24.4	27.5
13.5	37.9	19.5	32.7	24.5	31
13.6	33.5	19.6	36.2	24.6	29.9
13.7	42.8	19.7	57.2	24.7	29.6
13.8	35.9	19.8	71.2	24.8	28.2
13.9	37.8	19.9	63.5	24.9	28.4
14	36.2	20	49.2	25	26.7
				25.1	27.3
				25.2	31.9
				25.3	27.8
				25.4	27.8
				25.5	28.3
				25.6	28
				25.7	26.2
				25.8	30.1
				25.9	28.7
				26	30.3
				26.1	26.3
				26.2	29.6
				26.3	28.1
				26.4	29.2
				26.5	30.2
				26.6	28.3
				26.7	40.9
				26.8	54.8
				26.9	56.5
				27	46.4
