angle10-14	rate10-14	angle16-20	rate16-20	angle21-27	rate21-27
10	91.2	16	82.5	21	85.5
10.1	89.8	16.1	87.7	21.1	80.9
10.2	95.2	16.2	78.5	21.2	78.3
10.3	92.6	16.3	77.6	21.3	79.1
10.4	86.4	16.4	78.7	21.4	77.2
10.5	91.4	16.5	84.7	21.5	76.7
10.6	84.3	16.6	80.4	21.6	82.7
10.7	86.7	16.7	90.1	21.7	79.1
10.8	87.4	16.8	84	21.8	80.2
10.9	91	16.9	76.1	21.9	82.2
11	86.2	17	79.6	22	85.9
11.1	89.8	17.1	82	22.1	77.1
11.2	84.6	17.2	91.7	22.2	76.2
11.3	91.6	17.3	88.2	22.3	79.6
11.4	96.3	17.4	89.7	22.4	76.7
11.5	105	17.5	94.6	22.5	78.8
11.6	110.2	17.6	99.5	22.6	86
11.7	97.2	17.7	90.7	22.7	83.9
11.8	85.6	17.8	78.6	22.8	78.8
11.9	85.3	17.9	80.2	22.9	75.2
12	88.1	18	80.2	23	77.6
12.1	83.2	18.1	81.2	23.1	81.6
12.2	84.3	18.2	83.2	23.2	80.5
12.3	85.5	18.3	80.9	23.3	72
12.4	91.4	18.4	79.2	23.4	80.5
12.5	90.3	18.5	83.1	23.5	78.1
12.6	84.9	18.6	81.5	23.6	83
12.7	82.1	18.7	80	23.7	95.8
12.8	85	18.8	80.3	23.8	81.7
12.9	121.7	18.9	78.6	23.9	79.1
13	169.3	19	81.3	24	72.1
13.1	155.4	19.1	77.3	24.1	75.6
13.2	116.9	19.2	81	24.2	75.5
13.3	90.3	19.3	80.3	24.3	74.4
13.4	85.8	19.4	77.2	24.4	76.5
13.5	82.4	19.5	81.9	24.5	74.7
13.6	87.2	19.6	85.9	24.6	78.8
13.7	87.2	19.7	121	24.7	75.9
13.8	87.3	19.8	147.7	24.8	74.4
13.9	89.3	19.9	136.5	24.9	78.4
14	92.3	20	104.5	25	74.1
				25.1	74.7
				25.2	77.3
				25.3	74.3
				25.4	75.4
				25.5	73.2
				25.6	74.9
				25.7	72.1
				25.8	74.4
				25.9	77.4
				26	74.7
				26.1	80.1
				26.2	83.5
				26.3	78.8
				26.4	76.7
				26.5	73.3
				26.6	76.1
				26.7	97.5
				26.8	116.3
				26.9	118.1
				27	100.6
