angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4	angle5	rate5
3	14	3	15	3	28	3	25	3	29
3.1	26	3.1	29	3.1	16	3.1	22	3.1	21
3.2	26	3.2	27	3.2	31	3.2	19	3.2	23
3.3	20	3.3	20	3.3	18	3.3	29	3.3	18
3.4	23	3.4	27	3.4	28	3.4	30	3.4	22
3.5	26	3.5	27	3.5	20	3.5	19	3.5	33
3.6	28	3.6	22	3.6	25	3.6	17	3.6	25
3.7	27	3.7	31	3.7	26	3.7	27	3.7	27
3.8	25	3.8	18	3.8	42	3.8	31	3.8	26
3.9	17	3.9	28	3.9	27	3.9	26	3.9	26
4	27	4	24	4	38	4	35	4	29
4.1	37	4.1	30	4.1	39	4.1	25	4.1	32
4.2	30	4.2	28	4.2	32	4.2	24	4.2	35
4.3	42	4.3	30	4.3	48	4.3	27	4.3	43
4.4	27	4.4	24	4.4	39	4.4	30	4.4	25
4.5	28	4.5	40	4.5	43	4.5	43	4.5	29
4.6	41	4.6	27	4.6	43	4.6	42	4.6	40
4.7	43	4.7	36	4.7	80	4.7	32	4.7	38
4.8	47	4.8	46	4.8	97	4.8	52	4.8	63
4.9	49	4.9	48	4.9	154	4.9	77	4.9	83
5	64	5	58	5	212	5	114	5	104
5.1	119	5.1	120	5.1	253	5.1	189	5.1	154
5.2	176	5.2	207	5.2	302	5.2	207	5.2	191
5.3	254	5.3	274	5.3	342	5.3	268	5.3	211
5.4	325	5.4	303	5.4	384	5.4	298	5.4	229
5.5	361	5.5	328	5.5	413	5.5	349	5.5	248
5.6	404	5.6	404	5.6	393	5.6	368	5.6	267
5.7	378	5.7	399	5.7	404	5.7	393	5.7	241
5.8	412	5.8	445	5.8	414	5.8	426	5.8	324
5.9	473	5.9	465	5.9	402	5.9	380	5.9	310
6	485	6	455	6	435	6	380	6	300
6.1	477	6.1	446	6.1	423	6.1	426	6.1	252
6.2	445	6.2	487	6.2	399	6.2	402	6.2	305
6.3	456	6.3	485	6.3	433	6.3	461	6.3	279
6.4	495	6.4	474	6.4	451	6.4	393	6.4	305
6.5	471	6.5	494	6.5	416	6.5	466	6.5	309
6.6	492	6.6	528	6.6	419	6.6	441	6.6	265
6.7	508	6.7	502	6.7	419	6.7	452	6.7	287
6.8	510	6.8	493	6.8	414	6.8	461	6.8	297
6.9	500	6.9	512	6.9	440	6.9	434	6.9	306
7	480	7	491	7	406	7	389	7	308
7.1	508	7.1	496	7.1	441	7.1	434	7.1	285
7.2	498	7.2	510	7.2	381	7.2	445	7.2	267
7.3	502	7.3	479	7.3	422	7.3	437	7.3	261
7.4	528	7.4	498	7.4	414	7.4	432	7.4	290
7.5	475	7.5	496	7.5	398	7.5	457	7.5	281
7.6	494	7.6	535	7.6	436	7.6	415	7.6	270
7.7	482	7.7	523	7.7	411	7.7	468	7.7	276
7.8	487	7.8	521	7.8	387	7.8	423	7.8	271
7.9	496	7.9	420	7.9	388	7.9	406	7.9	231
8	507	8	493	8	437	8	411	8	268
8.1	487	8.1	467	8.1	365	8.1	434	8.1	264
8.2	454	8.2	485	8.2	368	8.2	419	8.2	244
8.3	450	8.3	444	8.3	362	8.3	441	8.3	257
8.4	476	8.4	450	8.4	350	8.4	424	8.4	263
8.5	460	8.5	451	8.5	387	8.5	413	8.5	239
8.6	456	8.6	441	8.6	448	8.6	438	8.6	259
8.7	428	8.7	473	8.7	567	8.7	533	8.7	335
8.8	522	8.8	610	8.8	894	8.8	668	8.8	431
8.9	623	8.9	735	8.9	1046	8.9	1053	8.9	632
9	957	9	1222	9	805	9	1164	9	682
9.1	1226	9.1	1235	9.1	550	9.1	911	9.1	507
9.2	1150	9.2	893	9.2	430	9.2	528	9.2	273
9.3	705	9.3	568	9.3	436	9.3	472	9.3	285
9.4	533	9.4	461	9.4	430	9.4	432	9.4	259
9.5	519	9.5	474	9.5	410	9.5	413	9.5	237
9.6	507	9.6	481	9.6	379	9.6	465	9.6	256
9.7	461	9.7	461	9.7	490	9.7	447	9.7	287
9.8	461	9.8	475	9.8	554	9.8	464	9.8	301
9.9	510	9.9	516	9.9	1690	9.9	752	9.9	480
10	684	10	1037	10	2751	10	2134	10	1348
10.1	1645	10.1	2397	10.1	2377	10.1	2954	10.1	1844
