angle	rate
3	14.4
3.1	13
3.2	12.2
3.3	17.6
3.4	17.2
3.5	15
3.6	14.8
3.7	15.4
3.8	16.4
3.9	16.6
4	18
4.1	16
4.2	20
4.3	15
4.4	18
4.5	22.8
4.6	24.6
4.7	29.6
4.8	44
4.9	66.6
5	98.6
5.1	135
5.2	154.6
5.3	174.8
5.4	177.8
5.5	207.4
5.6	193.4
5.7	191.2
5.8	191
5.9	195.8
6	194.8
6.1	191
6.2	180.4
6.3	176
6.4	167.4
6.5	168.8
6.6	151.6
6.7	141.4
6.8	139.6
6.9	140.6
7	138
7.1	124.2
7.2	118
7.3	103.2
7.4	110.4
7.5	107.2
7.6	110.8
7.7	96
7.8	89.8
7.9	92.8
8	90.4
8.1	72.2
8.2	75.8
8.3	72.4
8.4	68.6
8.5	70.6
8.6	74.4
8.7	79.4
8.8	101.2
8.9	128.6
9	99.2
9.1	74.6
9.2	56.8
9.3	48.4
9.4	56
9.5	54.8
9.6	82.8
9.7	159
9.8	299
9.9	910.6
10	1740.6
10.1	1756.2
10.2	1112.2
10.3	465.6
10.4	270.6
10.5	231.6
10.6	204.6
10.7	198.8
10.8	184
10.9	188.8
11	170
11.1	165
11.2	169.4
11.3	154.8
11.4	150.2
11.5	151
11.6	133.6
11.7	133.2
11.8	122
11.9	114.6
12	122.2
12.1	110.6
12.2	109
12.3	107
12.4	102.4
12.5	105.2
12.6	91.2
12.7	92.8
12.8	88.6
12.9	76
13	79.4
13.1	78.8
13.2	73.2
13.3	66.4
13.4	67.4
13.5	63
13.6	58.6
13.7	50.8
13.8	56.6
13.9	49.8
14	49.6
14.1	44.2
14.2	49.4
14.3	46.4
14.4	46.4
14.5	47.4
14.6	43.6
14.7	39.6
14.8	40.6
14.9	40.6
15	34.4
15.1	38.4
15.2	35.4
15.3	32
15.4	39.4
15.5	39.6
15.6	36.6
15.7	34.8
15.8	36.8
15.9	34.4
16	35.8
16.1	35
16.2	32.6
16.3	27.4
16.4	35
16.5	29.8
16.6	26.2
16.7	34
16.8	30
16.9	26.6
17	30.4
17.1	25
17.2	30
17.3	25.8
17.4	30.4
17.5	25.4
17.6	27.8
17.7	26.6
17.8	33.8
17.9	31.6
18	28.6
18.1	35.8
18.2	34.4
18.3	39
18.4	28.8
18.5	20.8
18.6	28.6
18.7	26.6
18.8	30.6
18.9	22.2
19	25.6
19.1	27.2
19.2	28.6
19.3	23.2
19.4	26.2
19.5	22.6
19.6	23.6
19.7	22.6
19.8	31.6
19.9	40.8
20	44.8
20.1	62
20.2	86.8
20.3	120
20.4	213.2
20.5	356.4
20.6	396.8
20.7	279.2
20.8	124
20.9	62
21	41.6
21.1	37
21.2	39.6
21.3	40
21.4	37
21.5	35.8
21.6	35.4
21.7	35.2
21.8	34.6
21.9	33
22	33.8
22.1	29.4
22.2	32.8
22.3	33.4
22.4	28.8
22.5	33
22.6	29.8
22.7	26.6
22.8	31
22.9	26.8
23	28.6
23.1	26.2
23.2	28.2
23.3	26
23.4	28
23.5	25.4
23.6	26.2
23.7	22.6
23.8	24.8
23.9	26.2
24	25
24.1	25.8
24.2	22.2
24.3	23.2
24.4	23
24.5	19.8
24.6	19.4
24.7	19.6
24.8	19
24.9	26
25	19.6
25.1	20.4
25.2	17.8
25.3	20.6
25.4	18.2
25.5	19.8
25.6	16.6
25.7	15.6
25.8	19.6
25.9	21.6
26	19.4
26.1	16.6
26.2	16.8
26.3	19.2
26.4	16
26.5	16.8
26.6	17.8
26.7	18.2
26.8	15.6
26.9	16.8
27	17.2
27.1	17.2
27.2	14.8
27.3	14.8
27.4	13
27.5	15.2
27.6	16.4
27.7	13
27.8	16
27.9	17.8
28	15.2
28.1	12.8
28.2	13.4
28.3	14.4
28.4	15.4
28.5	16.4
28.6	13.8
28.7	12.8
28.8	14
28.9	12.8
29	12.4
29.1	13.4
29.2	9.8
29.3	11.2
29.4	12.2
29.5	13
29.6	12.6
29.7	15
29.8	12.4
29.9	14.6
30	13.2
30.1	11.4
30.2	13.4
30.3	12.4
30.4	13.4
30.5	13.8
30.6	12
30.7	12.8
30.8	16.6
30.9	14.4
31	13.4
31.1	19.4
31.2	17.4
31.3	13.2
31.4	21.2
31.5	32.4
31.6	51.2
31.7	71.4
31.8	86.6
31.9	66.8
32	50
32.1	29.8
32.2	19
32.3	13.2
32.4	15.2
32.5	14.6
32.6	11.8
32.7	14.4
32.8	14.6
32.9	12.4
33	12.8
33.1	13.2
33.2	12.2
33.3	11.4
33.4	17
33.5	13.8
33.6	12.8
33.7	12.6
33.8	11.8
33.9	13.4
34	13.4
34.1	10.6
34.2	10.4
34.3	13.6
34.4	16.2
34.5	12.2
34.6	12
34.7	14
34.8	9.4
34.9	12
