angle	rate
3	22.2
3.1	22.4
3.2	23.4
3.3	23.6
3.4	29.4
3.5	29.6
3.6	27.8
3.7	28.8
3.8	30.4
3.9	27.8
4	31
4.1	35.8
4.2	31
4.3	31.2
4.4	39.6
4.5	39.6
4.6	50
4.7	59
4.8	89.4
4.9	135.2
5	199.2
5.1	258
5.2	310.2
5.3	333.6
5.4	377.6
5.5	390.8
5.6	429.2
5.7	418
5.8	449.8
5.9	457.4
6	449
6.1	469
6.2	461.8
6.3	441
6.4	456
6.5	468.8
6.6	447.2
6.7	448.2
6.8	461
6.9	469.6
7	466
7.1	444.2
7.2	432.8
7.3	448
7.4	442
7.5	444.6
7.6	437
7.7	423.8
7.8	424.8
7.9	411.8
8	419.6
8.1	428.4
8.2	401.6
8.3	413.8
8.4	407.6
8.5	406
8.6	454.8
8.7	580.6
8.8	899.2
8.9	1128.8
9	900.4
9.1	634
9.2	463.8
9.3	434.8
9.4	407.4
9.5	428.8
9.6	444.8
9.7	460.4
9.8	617.6
9.9	1543.4
10	2736.6
10.1	2620
10.2	1636.8
10.3	754.4
10.4	455.6
10.5	411.2
10.6	373.2
10.7	356.2
10.8	363.4
10.9	376.6
11	336
11.1	334.8
11.2	335.8
11.3	331.2
11.4	308.8
11.5	307.8
11.6	295.8
11.7	286
11.8	286.8
11.9	268.2
12	272.4
12.1	275
12.2	271.6
12.3	245
12.4	253
12.5	250.2
12.6	224
12.7	227
12.8	217
12.9	229.4
13	207.8
13.1	204
13.2	202.4
13.3	195.8
13.4	179.6
13.5	176.8
13.6	167
13.7	160.2
13.8	165.2
13.9	162.8
14	160
14.1	161.6
14.2	154.8
14.3	145.8
14.4	151
14.5	130
14.6	129.6
14.7	132.8
14.8	131.4
14.9	129.6
15	126.8
15.1	132
15.2	128.2
15.3	128.6
15.4	131.4
15.5	124.6
15.6	122.4
15.7	124.4
15.8	127.2
15.9	126.2
16	123.8
16.1	116
16.2	110
16.3	121.8
16.4	111.2
16.5	109.2
16.6	122.8
16.7	110.4
16.8	108.6
16.9	100.8
17	107.2
17.1	111.4
17.2	112.2
17.3	119.2
17.4	114.4
17.5	106.6
17.6	117.4
17.7	134
17.8	150.2
17.9	161.4
18	192
18.1	247.4
18.2	277.8
18.3	214.4
18.4	139
18.5	113.6
18.6	116.2
18.7	115.8
18.8	113
18.9	104.4
19	101.8
19.1	102
19.2	110.2
19.3	103.8
19.4	101.6
19.5	99.4
19.6	99.8
19.7	102
19.8	94.6
19.9	93.2
20	99.4
20.1	122.8
20.2	177
20.3	234.2
20.4	399.4
20.5	643
20.6	663.2
20.7	471.8
20.8	227.6
20.9	130
21	103
21.1	88.4
21.2	93.6
21.3	88.2
21.4	83
21.5	85.2
21.6	85.4
21.7	84.6
21.8	78.4
21.9	79.4
22	78.8
22.1	83
22.2	75
22.3	79
22.4	79.6
22.5	80.2
22.6	76.2
22.7	78
22.8	75.2
22.9	73.4
23	75
23.1	70.8
23.2	75
23.3	74
23.4	74.6
23.5	65.8
23.6	62.4
23.7	65.4
23.8	61.4
23.9	68.6
24	69.4
24.1	59.4
24.2	62
24.3	65.8
24.4	60.4
24.5	64.6
24.6	70
24.7	64.8
24.8	56.4
24.9	57.2
25	63.4
25.1	65.6
25.2	61.2
25.3	58.8
25.4	63.8
25.5	60.8
25.6	59.6
25.7	53.4
25.8	57.4
25.9	56
26	56.2
26.1	59.6
26.2	51
26.3	55.6
26.4	58.2
26.5	62.4
26.6	55.6
26.7	53
26.8	45.6
26.9	58.4
27	51
27.1	52.4
27.2	52.2
27.3	55.8
27.4	57.6
27.5	59.8
27.6	55.8
27.7	52.6
27.8	67.6
27.9	80.4
28	81.4
28.1	63.4
28.2	51
28.3	49.8
28.4	41
28.5	49.2
28.6	45
28.7	46
28.8	43.2
28.9	44.8
29	43.4
29.1	40.6
29.2	42.8
29.3	42.6
29.4	47.4
29.5	41.2
29.6	38.4
29.7	42.6
29.8	39.4
29.9	41.2
30	43
30.1	37.8
30.2	34.4
30.3	39.2
30.4	44
30.5	44.6
30.6	36.6
30.7	42.2
30.8	40.4
30.9	46.2
31	38.2
31.1	38.4
31.2	46.2
31.3	46.8
31.4	49.6
31.5	71
31.6	110.4
31.7	145.6
31.8	151.8
31.9	124.8
32	95.4
32.1	62.8
32.2	43.8
32.3	34.4
32.4	35.6
32.5	33.8
32.6	39.2
32.7	36.2
32.8	38.8
32.9	34
33	31.6
33.1	35.2
33.2	36.2
33.3	35.8
33.4	34
33.5	38
33.6	37
33.7	34.2
33.8	34.2
33.9	35.2
34	34
34.1	37
34.2	34.2
34.3	29.8
34.4	32.4
34.5	30.4
34.6	35.2
34.7	33.2
34.8	33.4
34.9	33.6
35	29.6
