angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4	angle5	rate5	angle6	rate6	angle7	rate7	angle8	rate8
3	13	3	11	3	9	3	13	3	8	3	6	3	8	3	10
3.1	6	3.1	5	3.1	17	3.1	31	3.1	12	3.1	13	3.1	8	3.1	17
3.2	10	3.2	10	3.2	56	3.2	94	3.2	12	3.2	14	3.2	11	3.2	11
3.3	27	3.3	14	3.3	95	3.3	195	3.3	14	3.3	13	3.3	8	3.3	26
3.4	59	3.4	10	3.4	175	3.4	271	3.4	16	3.4	16	3.4	37	3.4	73
3.5	123	3.5	16	3.5	237	3.5	335	3.5	32	3.5	16	3.5	75	3.5	120
3.6	217	3.6	22	3.6	305	3.6	357	3.6	92	3.6	39	3.6	201	3.6	234
3.7	289	3.7	20	3.7	361	3.7	405	3.7	165	3.7	58	3.7	359	3.7	323
3.8	324	3.8	26	3.8	418	3.8	403	3.8	285	3.8	97	3.8	560	3.8	409
3.9	354	3.9	29	3.9	438	3.9	478	3.9	441	3.9	118	3.9	668	3.9	484
4	363	4	37	4	377	4	481	4	534	4	136	4	762	4	487
4.1	377	4.1	35	4.1	433	4.1	457	4.1	599	4.1	170	4.1	801	4.1	529
4.2	382	4.2	29	4.2	437	4.2	449	4.2	640	4.2	197	4.2	878	4.2	566
4.3	386	4.3	45	4.3	469	4.3	454	4.3	660	4.3	236	4.3	895	4.3	596
4.4	376	4.4	41	4.4	468	4.4	434	4.4	723	4.4	243	4.4	963	4.4	587
4.5	395	4.5	45	4.5	453	4.5	488	4.5	711	4.5	242	4.5	920	4.5	605
4.6	386	4.6	50	4.6	424	4.6	444	4.6	673	4.6	283	4.6	915	4.6	596
4.7	373	4.7	38	4.7	418	4.7	442	4.7	706	4.7	288	4.7	897	4.7	601
4.8	362	4.8	40	4.8	423	4.8	395	4.8	686	4.8	271	4.8	861	4.8	579
4.9	353	4.9	56	4.9	375	4.9	434	4.9	686	4.9	291	4.9	890	4.9	618
5	315	5	59	5	428	5	412	5	677	5	307	5	859	5	597
5.1	360	5.1	63	5.1	381	5.1	405	5.1	597	5.1	280	5.1	861	5.1	579
5.2	344	5.2	51	5.2	408	5.2	376	5.2	641	5.2	311	5.2	858	5.2	568
5.3	318	5.3	50	5.3	393	5.3	367	5.3	629	5.3	289	5.3	858	5.3	521
5.4	322	5.4	43	5.4	368	5.4	363	5.4	646	5.4	278	5.4	818	5.4	508
5.5	317	5.5	58	5.5	371	5.5	339	5.5	636	5.5	308	5.5	854	5.5	559
5.6	287	5.6	42	5.6	370	5.6	333	5.6	634	5.6	286	5.6	832	5.6	503
5.7	302	5.7	49	5.7	357	5.7	357	5.7	548	5.7	292	5.7	778	5.7	467
5.8	288	5.8	45	5.8	357	5.8	321	5.8	592	5.8	264	5.8	758	5.8	513
5.9	279	5.9	39	5.9	390	5.9	349	5.9	561	5.9	275	5.9	740	5.9	514
6	294	6	63	6	576	6	500	6	552	6	269	6	789	6	516
6.1	348	6.1	56	6.1	720	6.1	679	6.1	544	6.1	241	6.1	829	6.1	563
6.2	464	6.2	66	6.2	696	6.2	597	6.2	549	6.2	266	6.2	855	6.2	760
6.3	606	6.3	68	6.3	541	6.3	531	6.3	607	6.3	292	6.3	1147	6.3	987
6.4	543	6.4	76	6.4	442	6.4	457	6.4	864	6.4	330	6.4	1502	6.4	1014
6.5	465	6.5	86	6.5	388	6.5	402	6.5	1072	6.5	423	6.5	1523	6.5	839
6.6	323	6.6	110	6.6	320	6.6	354	6.6	1011	6.6	433	6.6	1119	6.6	656
6.7	279	6.7	85	6.7	346	6.7	355	6.7	901	6.7	563	6.7	841	6.7	598
6.8	272	6.8	98	6.8	1032	6.8	772	6.8	562	6.8	552	6.8	715	6.8	568
6.9	342	6.9	91	6.9	1613	6.9	1484	6.9	509	6.9	317	6.9	876	6.9	641
7	909	7	86	7	1428	7	1295	7	510	7	320	7	1046	7	1078
7.1	1371	7.1	105	7.1	1224	7.1	1106	7.1	748	7.1	347	7.1	1791	7.1	1998
7.2	1202	7.2	110	7.2	758	7.2	807	7.2	1386	7.2	422	7.2	2788	7.2	2161
7.3	901	7.3	179	7.3	543	7.3	688	7.3	2070	7.3	684	7.3	3030	7.3	1767
7.4	552	7.4	198	7.4	390	7.4	484	7.4	2219	7.4	831	7.4	2108	7.4	1117
7.5	395	7.5	215	7.5	314	7.5	412	7.5	1816	7.5	1273	7.5	1152	7.5	739
7.6	286	7.6	162	7.6	260	7.6	333	7.6	892	7.6	1315	7.6	694	7.6	447
7.7	305	7.7	149	7.7	264	7.7	280	7.7	411	7.7	485	7.7	573	7.7	374
