angle	rate
3	8.2
3.1	11.2
3.2	9.2
3.3	9
3.4	10
3.5	16.6
3.6	24.8
3.7	54.8
3.8	123.2
3.9	183.8
4	259
4.1	290.4
4.2	297.4
4.3	314.2
4.4	322.8
4.5	334.2
4.6	322.4
4.7	289.8
4.8	290
4.9	270.8
5	247.8
5.1	231.6
5.2	207.6
5.3	211.2
5.4	186.6
5.5	170.8
5.6	159.4
5.7	143
5.8	124.2
5.9	115
6	105.4
6.1	93.4
6.2	86
6.3	79.6
6.4	96.2
6.5	133.4
6.6	129.6
6.7	96.6
6.8	64.6
6.9	67.8
7	112.6
7.1	274.6
7.2	768.8
7.3	1565.8
7.4	1856.6
7.5	1506.2
7.6	698
7.7	328.8
7.8	260.6
7.9	229.2
8	233.6
8.1	220.8
8.2	205
8.3	191.6
8.4	174.6
8.5	158.4
8.6	165.6
8.7	138.6
8.8	133.6
8.9	125.6
9	113.2
9.1	104.4
9.2	101.6
9.3	94.6
9.4	87.8
9.5	83.2
9.6	84
9.7	66.2
9.8	66
9.9	57
10	58.6
10.1	55.2
10.2	49.6
10.3	50.4
10.4	42.2
10.5	45.4
10.6	45.8
10.7	38
10.8	40
10.9	37.8
11	34
11.1	32.8
11.2	36
11.3	29
11.4	35.8
11.5	30.8
11.6	35.8
11.7	32.8
11.8	30.8
11.9	32.4
12	31.6
12.1	33.8
12.2	29
12.3	29.8
12.4	26
12.5	31.6
12.6	26.6
12.7	26.2
12.8	30.6
12.9	28.4
13	35.8
13.1	34.4
13.2	38
13.3	26.2
13.4	23.2
13.5	20.4
13.6	22.6
13.7	23.6
13.8	22
13.9	24.8
14	19.2
14.1	21.6
14.2	28.6
14.3	38.8
14.4	52.4
14.5	88.8
14.6	259.2
14.7	436
14.8	459.8
14.9	285
15	108.8
15.1	56.2
15.2	45.8
15.3	51
15.4	47.6
15.5	44.2
15.6	38.6
15.7	34.6
15.8	37.8
15.9	36.8
16	36.6
16.1	33.2
16.2	28
16.3	32.6
16.4	30.4
16.5	30.8
16.6	33
16.7	28.4
16.8	26
16.9	24.6
17	23.4
17.1	22.2
17.2	22.2
17.3	22.6
17.4	18.2
17.5	17.2
17.6	19.4
17.7	19.4
17.8	19.6
17.9	14.4
18	15.2
18.1	17.4
18.2	15
18.3	16.8
18.4	17.6
18.5	14.4
18.6	15.2
18.7	16
18.8	13
18.9	15.6
19	13.8
19.1	14.2
19.2	12.8
19.3	15.6
19.4	8.6
19.5	10.2
19.6	11.6
19.7	12.6
19.8	15.4
19.9	12.6
20	12.4
20.1	10.2
20.2	10.4
20.3	8.8
20.4	7
20.5	8.4
20.6	9
20.7	6.6
20.8	7.2
20.9	8.4
21	10.2
21.1	7
21.2	9.2
21.3	8.2
21.4	9.8
21.5	7.4
21.6	7.8
21.7	9.4
21.8	10.4
21.9	12.4
22	13.4
22.1	19
22.2	42.2
22.3	81
22.4	101
22.5	83.6
22.6	44.6
22.7	16.4
22.8	11.8
22.9	16.4
23	11
23.1	12.2
23.2	10.4
23.3	11.8
23.4	8.8
23.5	9.6
23.6	9.8
23.7	8.4
23.8	7.6
23.9	8
24	8.8
24.1	11
24.2	10.4
24.3	10.4
24.4	7
24.5	7.6
24.6	8.4
24.7	10.4
24.8	6.6
24.9	7.8
25	6.6
25.1	7.4
25.2	5.4
25.3	7
25.4	7.4
25.5	8.2
25.6	6.2
25.7	6
25.8	6.8
25.9	7.2
26	5.6
26.1	6.8
26.2	7
26.3	5
26.4	4.4
26.5	5.6
26.6	5.6
26.7	5.8
26.8	5
26.9	5.4
27	4.8
27.1	4.6
27.2	4.8
27.3	6.4
27.4	4
27.5	4.4
27.6	5
27.7	5.6
27.8	5.4
27.9	4.8
28	5.2
28.1	4.8
28.2	5.2
28.3	4.8
28.4	4.8
28.5	4.6
28.6	4
28.7	2.8
28.8	5.8
28.9	5.8
29	3
29.1	4.2
29.2	5
29.3	4
29.4	4.6
29.5	4.8
29.6	5.6
29.7	3.4
29.8	5.4
29.9	4.4
30	6.4
30.1	7
30.2	9
30.3	16.8
30.4	18.4
30.5	17.8
30.6	12.2
30.7	8.6
30.8	5
30.9	4.6
31	4.6
31.1	5.4
31.2	4
31.3	3.8
31.4	4.8
31.5	3.4
31.6	6.2
31.7	3.4
31.8	5.2
31.9	3
32	5.6
32.1	4.4
32.2	4
32.3	5.4
32.4	5.4
32.5	2.6
32.6	3.8
32.7	4
32.8	4
32.9	2.4
33	4
33.1	3.4
33.2	4
33.3	4.4
33.4	4.2
33.5	4.8
33.6	3.4
33.7	4.2
33.8	3.6
33.9	2.6
34	3.6
34.1	4.4
34.2	2.8
34.3	3.8
34.4	2.2
34.5	4.8
34.6	4
34.7	3
34.8	3.8
34.9	3
35	4.2
