angle	rate
3	8
3.1	8.2
3.2	9
3.3	9.4
3.4	10.6
3.5	19.6
3.6	48.6
3.7	120.4
3.8	234.4
3.9	389.8
4	509.6
4.1	589
4.2	677.2
4.3	698.4
4.4	740.6
4.5	766.8
4.6	793.4
4.7	789.4
4.8	799
4.9	812.4
5	812
5.1	783.6
5.2	813.2
5.3	760.8
5.4	797.6
5.5	764.8
5.6	747
5.7	733
5.8	697.6
5.9	696.6
6	650.6
6.1	664.6
6.2	668.2
6.3	731.2
6.4	974.4
6.5	1374.4
6.6	1404.6
6.7	1093.8
6.8	727.6
6.9	630.4
7	641.6
7.1	786
7.2	1422.2
7.3	2501.6
7.4	2878.6
7.5	2228
7.6	1081.2
7.7	589.6
7.8	461.6
7.9	450.2
8	442.2
8.1	410.4
8.2	391.6
8.3	374.2
8.4	347.8
8.5	332
8.6	335.2
8.7	312.6
8.8	302.6
8.9	285
9	278
9.1	267.6
9.2	253.2
9.3	246.2
9.4	222
9.5	219.6
9.6	203.2
9.7	188.6
9.8	172.2
9.9	163
10	163
10.1	161.4
10.2	146.4
10.3	144.8
10.4	140.2
10.5	138.2
10.6	134.8
10.7	126.2
10.8	129
10.9	118.8
11	126.4
11.1	132.2
11.2	121.6
11.3	116.8
11.4	121.8
11.5	116.8
11.6	115.6
11.7	110.6
11.8	115
11.9	110.8
12	107.6
12.1	102.6
12.2	104
12.3	102.6
12.4	111.4
12.5	104.6
12.6	102.4
12.7	118.2
12.8	136.4
12.9	179.8
13	269.6
13.1	300
13.2	253.4
13.3	151.4
13.4	116
13.5	102.8
13.6	99
13.7	102.4
13.8	109.8
13.9	100
14	96.8
14.1	102.8
14.2	96.2
14.3	99.4
14.4	113
14.5	179
14.6	475.2
14.7	758
14.8	756
14.9	443.8
15	174.8
15.1	105.4
15.2	91.6
15.3	87.6
15.4	77.6
15.5	77.4
15.6	81.8
15.7	77.4
15.8	81.2
15.9	78.6
16	69.2
16.1	69.4
16.2	66
16.3	68.6
16.4	60.4
16.5	68.6
16.6	66.8
16.7	68.2
16.8	63.4
16.9	55
17	55.4
17.1	53.4
17.2	56.6
17.3	55.4
17.4	52
17.5	48.6
17.6	54.6
17.7	53.4
17.8	48.2
17.9	48
18	46.2
18.1	50.8
18.2	51.6
18.3	43.4
18.4	45.6
18.5	41
18.6	45
18.7	42.2
18.8	42.4
18.9	41.6
19	45.6
19.1	42.4
19.2	41.2
19.3	38.2
19.4	46.2
19.5	47.8
19.6	48.8
19.7	63
19.8	80.6
19.9	79.6
20	52.2
20.1	38
20.2	35
20.3	33
20.4	33.8
20.5	32.2
20.6	32.6
20.7	36.8
20.8	31.6
20.9	28.8
21	31.2
21.1	29.6
21.2	32.2
21.3	30.8
21.4	33.4
21.5	32
21.6	30.2
21.7	29.6
21.8	32.6
21.9	33.4
22	33.2
22.1	43.6
22.2	87.8
22.3	158.8
22.4	200.4
22.5	155.4
22.6	84.4
22.7	40.6
22.8	28
22.9	31.2
23	26.8
23.1	28.2
23.2	23.4
23.3	29.6
23.4	24.4
23.5	22.4
23.6	25.6
23.7	22.4
23.8	20.6
23.9	25.2
24	19.4
24.1	22.8
24.2	22.6
24.3	21
24.4	22.2
24.5	19.2
24.6	19.6
24.7	17.4
24.8	20.6
24.9	17.6
25	20
25.1	17.2
25.2	17.8
25.3	22.2
25.4	14.8
25.5	19.8
25.6	16.8
25.7	14
25.8	20
25.9	17.8
26	18
26.1	18.2
26.2	17
26.3	17.2
26.4	21.6
26.5	17.2
26.6	17.8
26.7	23.6
26.8	26.4
26.9	23.2
27	17.8
27.1	16.8
27.2	14.8
27.3	17.2
27.4	14.4
27.5	16.4
27.6	15
27.7	15.4
27.8	14.2
27.9	13.8
28	14.2
28.1	11.6
28.2	12.4
28.3	17.8
28.4	14
28.5	15.2
28.6	12
28.7	10.4
28.8	12
28.9	13.8
29	15.4
29.1	13
29.2	13.8
29.3	13
29.4	11.6
29.5	13.2
29.6	13
29.7	13.4
29.8	10.6
29.9	11.8
30	14.2
30.1	16
30.2	29.2
30.3	33.4
30.4	38.2
30.5	35
30.6	23
30.7	16.6
30.8	12.8
30.9	12.8
31	12
31.1	14
31.2	11
31.3	10.6
31.4	10.2
31.5	9
31.6	8.6
31.7	13.2
31.8	9.8
31.9	11.6
32	9.2
32.1	10.4
32.2	12.8
32.3	9.8
32.4	9
32.5	9.8
32.6	7.6
32.7	12.4
32.8	9
32.9	7
33	10
33.1	10.6
33.2	12
33.3	11
33.4	11.8
33.5	11
33.6	9.8
33.7	9.4
33.8	9.6
33.9	12.2
34	9.6
34.1	9
34.2	11.8
34.3	9.6
34.4	9
34.5	10
34.6	9.8
34.7	7.4
34.8	10.2
34.9	8.6
35	9.8
