angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
3	9	3	6	3	15	3	2
3.1	6	3.1	9	3.1	10	3.1	5
3.2	9	3.2	3	3.2	11	3.2	2
3.3	6	3.3	6	3.3	8	3.3	4
3.4	10	3.4	3	3.4	6	3.4	7
3.5	8	3.5	5	3.5	4	3.5	5
3.6	4	3.6	3	3.6	6	3.6	12
3.7	11	3.7	4	3.7	4	3.7	7
3.8	6	3.8	10	3.8	7	3.8	7
3.9	9	3.9	6	3.9	5	3.9	4
4	7	4	7	4	8	4	5
4.1	6	4.1	11	4.1	3	4.1	9
4.2	16	4.2	9	4.2	3	4.2	6
4.3	4	4.3	5	4.3	6	4.3	4
4.4	4	4.4	9	4.4	6	4.4	4
4.5	4	4.5	5	4.5	7	4.5	6
4.6	8	4.6	8	4.6	14	4.6	11
4.7	10	4.7	5	4.7	15	4.7	7
4.8	7	4.8	9	4.8	6	4.8	7
4.9	4	4.9	6	4.9	6	4.9	4
5	10	5	13	5	8	5	7
5.1	8	5.1	7	5.1	9	5.1	6
5.2	4	5.2	10	5.2	1	5.2	7
5.3	6	5.3	8	5.3	4	5.3	4
5.4	4	5.4	5	5.4	7	5.4	7
5.5	7	5.5	4	5.5	6	5.5	8
5.6	12	5.6	6	5.6	7	5.6	6
5.7	12	5.7	11	5.7	26	5.7	18
5.8	11	5.8	10	5.8	19	5.8	19
5.9	25	5.9	8	5.9	36	5.9	33
6	29	6	25	6	41	6	41
6.1	36	6.1	14	6.1	52	6.1	41
6.2	35	6.2	16	6.2	50	6.2	53
6.3	40	6.3	28	6.3	60	6.3	68
6.4	43	6.4	20	6.4	74	6.4	54
6.5	36	6.5	19	6.5	66	6.5	68
6.6	38	6.6	25	6.6	80	6.6	60
6.7	42	6.7	21	6.7	64	6.7	79
6.8	35	6.8	26	6.8	86	6.8	89
6.9	41	6.9	17	6.9	86	6.9	66
7	42	7	28	7	83	7	63
7.1	36	7.1	25	7.1	90	7.1	72
7.2	33	7.2	17	7.2	89	7.2	71
7.3	37	7.3	22	7.3	85	7.3	59
7.4	40	7.4	20	7.4	89	7.4	55
7.5	40	7.5	29	7.5	65	7.5	46
7.6	49	7.6	29	7.6	76	7.6	59
7.7	74	7.7	41	7.7	97	7.7	84
7.8	75	7.8	42	7.8	99	7.8	60
7.9	72	7.9	45	7.9	126	7.9	84
8	74	8	67	8	97	8	69
8.1	62	8.1	55	8.1	111	8.1	89
8.2	76	8.2	59	8.2	86	8.2	83
8.3	78	8.3	59	8.3	111	8.3	92
8.4	88	8.4	67	8.4	100	8.4	89
8.5	95	8.5	49	8.5	106	8.5	94
8.6	86	8.6	61	8.6	93	8.6	85
8.7	85	8.7	74	8.7	100	8.7	92
8.8	85	8.8	71	8.8	94	8.8	94
8.9	78	8.9	65	8.9	109	8.9	81
