angle	rate
3	6
3.1	6
3.2	5.8
3.3	4.4
3.4	6.4
3.5	6.6
3.6	7.4
3.7	6
3.8	6.6
3.9	5.2
4	6.8
4.1	4.8
4.2	7
4.3	5.4
4.4	5.2
4.5	6
4.6	6.8
4.7	7.8
4.8	7
4.9	6
5	6.8
5.1	6.2
5.2	5.4
5.3	8.6
5.4	6.6
5.5	5.4
5.6	7
5.7	10
5.8	12.4
5.9	17.6
6	29.8
6.1	29
6.2	37.8
6.3	45.6
6.4	48
6.5	46.8
6.6	57.2
6.7	56.6
6.8	58.8
6.9	52.2
7	53.2
7.1	51.2
7.2	51.2
7.3	48
7.4	47.4
7.5	44.4
7.6	45.2
7.7	57.8
7.8	54.4
7.9	51.2
8	57.4
8.1	60.6
8.2	60
8.3	58.6
8.4	60.8
8.5	61
8.6	54.2
8.7	58.8
8.8	62
8.9	57
9	61.8
9.1	52.8
9.2	51.6
9.3	52.2
9.4	53.6
9.5	55
9.6	53.2
9.7	56.4
9.8	60
9.9	61
10	61.8
10.1	78.8
10.2	65.8
10.3	70.4
10.4	74
10.5	73.4
10.6	78.2
10.7	79.8
10.8	79.6
10.9	76.2
11	71.8
11.1	76
11.2	85.8
11.3	76
11.4	79
11.5	75.8
11.6	79.2
11.7	86
11.8	69.2
11.9	75.4
12	81
12.1	74.4
12.2	71.8
12.3	71.8
12.4	69.2
12.5	75
12.6	73.8
12.7	64.2
12.8	70.2
12.9	69.2
13	68.4
13.1	64.8
13.2	68.4
13.3	70.8
13.4	82.4
13.5	95.8
13.6	123
13.7	108.8
13.8	88.4
13.9	73.6
14	74.6
14.1	72
14.2	68.2
14.3	70.6
14.4	65.8
14.5	77.4
14.6	70.8
14.7	65.4
14.8	65.8
14.9	66.8
15	67.4
15.1	79.6
15.2	130.2
15.3	227
15.4	234
15.5	148.2
15.6	92
15.7	81.2
15.8	74
15.9	59.2
16	72.4
16.1	67.4
16.2	66
16.3	69
16.4	66.8
16.5	57
16.6	60.6
16.7	62
16.8	69.6
16.9	61.6
17	61.6
17.1	52.4
17.2	69.2
17.3	70.4
17.4	83.2
17.5	73.8
17.6	114
17.7	117
17.8	101.8
17.9	66
18	55.2
18.1	59.8
18.2	57.2
18.3	53.4
18.4	54.6
18.5	59.6
18.6	52.6
18.7	56.6
18.8	55
18.9	48.6
19	47.2
19.1	50
19.2	47.2
19.3	52
19.4	48.2
19.5	47.2
19.6	54
19.7	69
19.8	108.6
19.9	143.4
20	135.6
20.1	93.6
20.2	56.2
20.3	44.6
20.4	47.6
20.5	46.6
20.6	38.8
20.7	40.6
20.8	39.8
20.9	39
21	40.2
21.1	36.4
21.2	39
21.3	38.6
21.4	40
21.5	40.4
21.6	41.2
21.7	39.2
21.8	42
21.9	37.2
22	37.4
22.1	34.2
22.2	34.8
22.3	36.2
22.4	40.2
22.5	38.6
22.6	33
22.7	34.6
22.8	35.2
22.9	31.4
23	38.6
23.1	34
23.2	30.2
23.3	39.4
23.4	33.2
23.5	37.8
23.6	38.8
23.7	30.4
23.8	32.4
23.9	37
24	32.6
24.1	38.8
24.2	34.4
24.3	34.6
24.4	40.4
24.5	49.2
24.6	58.8
24.7	67.2
24.8	66.6
24.9	43
25	31.6
25.1	32.4
25.2	31.8
25.3	29.4
25.4	26.4
25.5	27.8
25.6	28.6
25.7	28.8
25.8	28.4
25.9	23.4
26	28
26.1	26.8
26.2	26
26.3	27.8
26.4	23.8
26.5	24
26.6	27.6
26.7	24.2
26.8	26.2
26.9	24.8
27	26.2
27.1	22.4
27.2	26
27.3	28
27.4	31.2
27.5	31.2
27.6	34.2
27.7	46
27.8	98.6
27.9	143.8
28	124.2
28.1	73.2
28.2	43.8
28.3	26.6
28.4	19.8
28.5	25
28.6	21
28.7	24.6
28.8	19.2
28.9	25.4
29	23.6
29.1	22.6
29.2	23.8
29.3	20.2
29.4	19.4
29.5	21
29.6	19.2
29.7	22.6
29.8	21
29.9	22.6
30	16.2
30.1	18.8
30.2	21.6
30.3	21.4
30.4	17.2
30.5	21
30.6	22.2
30.7	19.4
30.8	21
30.9	19.8
31	17.4
31.1	19.6
31.2	18.8
31.3	17.2
31.4	22.8
31.5	51.6
31.6	100.6
31.7	110
31.8	78.6
31.9	67.6
32	38.2
32.1	33.8
32.2	29.6
32.3	23.8
32.4	18.8
32.5	18.6
32.6	17.2
32.7	15.4
32.8	16.8
32.9	16.2
33	14.6
33.1	16.8
33.2	16.2
33.3	17.4
33.4	18
33.5	16.6
33.6	17.4
33.7	14.4
33.8	13
33.9	15.2
34	15.8
34.1	14.6
34.2	13.4
34.3	14.6
34.4	14.6
34.5	14.4
34.6	14
34.7	14
34.8	13.2
34.9	12.6
35	12.6
