angle	rate
3	10
3.1	10.2
3.2	13
3.3	17.4
3.4	37.8
3.5	55.8
3.6	71.2
3.7	83
3.8	83.6
3.9	88
4	84
4.1	81.8
4.2	87
4.3	61.4
4.4	76.6
4.5	60.6
4.6	60
4.7	60
4.8	47.2
4.9	47.6
5	42.4
5.1	37.8
5.2	34.6
5.3	35
5.4	32.6
5.5	27.8
5.6	26.2
5.7	28.2
5.8	39.2
5.9	38.4
6	26
6.1	16.4
6.2	23.4
6.3	35
6.4	121.2
6.5	354.6
6.6	434.6
6.7	298.6
6.8	86
6.9	53.8
7	50.2
7.1	49.8
7.2	44.2
7.3	38.6
7.4	44
7.5	34.6
7.6	36
7.7	31
7.8	28.8
7.9	26.2
8	29
8.1	24.8
8.2	24.4
8.3	26.4
8.4	23.2
8.5	20.2
8.6	23.4
8.7	22.8
8.8	22.4
8.9	22.2
9	21
9.1	24.2
9.2	19
9.3	19.6
9.4	19.6
9.5	17.8
9.6	19.6
9.7	18.8
9.8	23.8
9.9	23.2
10	25
10.1	21
10.2	22
10.3	22.4
10.4	24.4
10.5	23.6
10.6	24
10.7	22.8
10.8	24.4
10.9	25.4
11	27.2
11.1	28
11.2	23
11.3	28.8
11.4	25.2
11.5	22.6
11.6	24.8
11.7	23.8
11.8	21.6
11.9	21.4
12	25
12.1	27.6
12.2	19.8
12.3	21.6
12.4	21.2
12.5	21.8
12.6	19
12.7	21.2
12.8	21.6
12.9	21.8
13	20.8
13.1	19.6
13.2	21.2
13.3	24
13.4	16.6
13.5	21.8
13.6	20.2
13.7	21.6
13.8	20.6
13.9	19.2
14	23.2
14.1	21.6
14.2	20.2
14.3	20.2
14.4	20
14.5	19.6
14.6	19
14.7	20.4
14.8	21.2
14.9	19
15	21.4
15.1	24.6
15.2	20.8
15.3	16.6
15.4	18.4
15.5	17
15.6	19.6
15.7	20.6
15.8	16.4
15.9	17.6
16	16.2
16.1	18.6
16.2	16.6
16.3	17.4
16.4	14.4
16.5	16.6
16.6	20.2
16.7	16.6
16.8	16.4
16.9	19.2
17	17.2
17.1	13.8
17.2	15.4
17.3	17
17.4	19.4
17.5	17.6
17.6	19
17.7	21.4
17.8	18.4
17.9	17.8
18	16
18.1	16.2
18.2	12.6
18.3	11.4
18.4	14
18.5	15.6
18.6	16.8
18.7	19
18.8	14.6
18.9	13.2
19	10.8
19.1	13.2
19.2	12.6
19.3	11.8
19.4	15.4
19.5	17.4
19.6	19.4
19.7	22.8
19.8	55
19.9	108.8
20	163.6
20.1	138.6
20.2	64.8
20.3	25
20.4	17.8
20.5	14.6
20.6	13.2
20.7	15
20.8	15.6
20.9	16.8
21	14.6
21.1	15.6
21.2	14.8
21.3	13
21.4	9.8
21.5	12.2
21.6	8
21.7	10.2
21.8	11.4
21.9	11.6
22	9.2
22.1	7
22.2	11.6
22.3	13.6
22.4	8.6
22.5	8.8
22.6	9.8
22.7	9.4
22.8	10
22.9	8.6
23	9
23.1	8.8
23.2	7.8
23.3	9.6
23.4	10.6
23.5	11.4
23.6	8
23.7	10.6
23.8	10
23.9	10.4
24	10.8
24.1	7.6
24.2	9.8
24.3	10.2
24.4	7.4
24.5	6.8
24.6	8.6
24.7	7.8
24.8	5.6
24.9	6.6
25	7.6
25.1	7.4
25.2	7.2
25.3	6.8
25.4	7.6
25.5	8.4
25.6	5.8
25.7	5
25.8	7.2
25.9	6.4
26	9.6
26.1	6.4
26.2	9.8
26.3	7.8
26.4	9.6
26.5	11.6
26.6	13.2
26.7	8.8
26.8	17.2
26.9	38.6
27	76.8
27.1	95.8
27.2	64.6
27.3	39
27.4	16.4
27.5	9.6
27.6	9.6
27.7	7.6
27.8	8.8
27.9	7.8
28	10.4
28.1	8
28.2	6.6
28.3	6.4
28.4	8.6
28.5	9
28.6	8.4
28.7	6.6
28.8	7.2
28.9	8.4
29	6.6
29.1	9.2
29.2	8
29.3	7.4
29.4	8.2
29.5	6.4
29.6	7.6
29.7	7.4
29.8	6.8
29.9	7.8
30	7.2
30.1	6.4
30.2	6.2
30.3	6.6
30.4	5.6
30.5	4.8
30.6	7.2
30.7	3.6
30.8	5.4
30.9	6
31	4.8
31.1	6
31.2	4.4
31.3	6
31.4	6.2
31.5	4.4
31.6	4.6
31.7	4.4
31.8	5.2
31.9	4.6
32	4.4
32.1	5.8
32.2	6
32.3	5.2
32.4	4.8
32.5	5.6
32.6	4.6
32.7	4.6
32.8	4.6
32.9	2.8
33	5.4
33.1	3
33.2	4.2
33.3	3.4
33.4	4.6
33.5	6
33.6	5.8
33.7	5
33.8	5.8
33.9	4.4
34	3.6
34.1	5.2
34.2	5.6
34.3	6.4
34.4	13
34.5	19
34.6	17
34.7	16.2
34.8	8
34.9	12
35	5.2
